Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Shoaib Gazi Hossain (Chile),2019-2019,4,1,0,2,2,2.00,5,40.00,0,0,0,0,0,
GJ Snyman (SA),2021-2021,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
H Ssenyondo (UGA),2019-2021,9,2,1,2,2,2.00,9,22.22,0,0,0,0,0,
Suhrid Roy (MLT),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
A Tripathi (Mex),2019-2019,3,2,2,2,1*,-,4,50.00,0,0,0,0,0,
LL Tsotsobe (SA),2009-2014,23,3,2,2,1*,2.00,10,20.00,0,0,0,0,0,
Usman Shinwari (PAK),2013-2019,16,3,3,2,2*,-,3,66.66,0,0,0,0,0,
S Vijayakumar (SGP),2019-2019,9,2,0,2,1,1.00,5,40.00,0,0,0,0,0,
R Vinay Kumar (INDIA),2010-2013,9,1,1,2,2*,-,4,50.00,0,0,0,0,0,
Waqar Khan (Peru),2019-2019,4,2,1,2,2*,2.00,3,66.66,0,0,1,0,0,
Waqas Raja (Fin),2019-2019,1,1,1,2,2*,-,2,100.00,0,0,0,0,0,
UWMBCA Welegedara (SL),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0,
BTJ Wheal (SCOT),2016-2017,5,2,2,2,2*,-,2,100.00,0,0,0,0,0,
B White (IRE),2021-2021,1,1,1,2,2*,-,4,50.00,0,0,0,0,0,
UT Yadav (INDIA),2012-2019,7,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
Zaheer Maqsood (UAE),2015-2016,3,1,0,2,2,2.00,5,40.00,0,0,0,0,0,
Z Abbasi (Botsw),2019-2019,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
Adnan Razzaq (Belg),2021-2021,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,
KK Ahmed (INDIA),2018-2019,14,1,1,1,1*,-,1,100.00,0,0,0,0,0,
J Allen (),2019-2019,2,2,1,1,1*,1.00,4,25.00,0,0,1,0,0,
HS Alta (TKY),2019-2019,4,4,1,1,1*,0.33,10,10.00,0,0,3,0,0,
JM Anderson (ENG),2007-2009,19,4,3,1,1*,1.00,2,50.00,0,0,1,0,0,
B Angeltti (Arg),2019-2019,3,1,0,1,1,1.00,4,25.00,0,0,0,0,0,
V Ateak (Ghana),2019-2019,4,1,1,1,1*,-,2,50.00,0,0,0,0,0,
Babar Ali (BHR),2019-2019,3,1,1,1,1*,-,1,100.00,0,0,0,0,0,
HK Bennett (NZ),2020-2021,9,1,1,1,1*,-,2,50.00,0,0,0,0,0,
DE Bernard (WI),2009-2009,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,
S Bhari (NEPAL),2019-2021,9,5,3,1,1*,0.50,7,14.28,0,0,2,0,0,
DE Bollinger (AUS),2011-2014,9,2,2,1,1*,-,1,100.00,0,0,0,0,0,
DR Brown (SCOT),2007-2007,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
N Buckle (GUE),2019-2019,3,1,1,1,1*,-,1,100.00,0,0,0,0,0,
DL Chahar (INDIA),2018-2021,14,4,4,1,1*,-,1,100.00,0,0,0,0,0,
