,batsman,innings,runs,balls,dismissals,dots,ones,twos,threes,fours,sixes,SR,RPI,BPD,BPB,AVG,SRPER,DOTPER,calc_SR,calc_RPI,calc_BPD,calc_dot_percentage,dev_best_SR,dev_best_RPI,dev_best_BPD,dev_best_dot_percentage,dev_best_sqrt,dev_worst_SR,dev_worst_RPI,dev_worst_BPD,dev_worst_dot_percentage,dev_worst_sqrt,score
111,RV Uthappa,3,34,32,3,10,18,0,0,4,0,106.25,11.333333333333334,10.666666666666666,8.0,11.333333333333334,56.25,31.25,1.867537486966855,0.2919204290254066,0.08191018160543481,1.406087478321067,14.865972480747986,3.5803441529079425,13.323394029881337,1.3227692620306777,33.09247992556794,3.4876962652264765,0.08521753688237746,0.006446544440970278,168.7985158807109,172.37787622726074,0.8389428015545279
112,S Dhawan,4,35,44,1,18,21,3,0,2,0,79.54545454545455,8.75,44.0,22.0,35.0,54.54545454545455,40.90909090909091,1.0467481124581877,0.17400641922605467,1.3937529338799766,2.4096388388814582,21.869007063351322,4.040476866454341,5.467552028001288,4.638287685058251,36.015323642865205,1.0956816109347787,0.03027823393187349,1.938034646193575,143.72885429821557,146.79284878927578,0.8029884377503187
115,SA Yadav,2,53,49,1,18,21,4,0,6,0,108.16326530612245,26.5,49.0,8.166666666666666,53.0,51.02040816326531,36.734693877551024,1.9354013063008833,1.5960294909583268,1.7285128069451567,1.9429657609639752,14.347260842941354,0.3458271175668397,4.014091759100757,2.8459533012474685,21.55313302085642,3.7457782164311655,2.547310136008696,2.9821594372749125,155.13624226147246,164.41149005118723,0.8841008969081897
117,SC Ganguly,2,5,14,2,9,5,0,0,0,0,35.714285714285715,2.5,7.0,14.0,2.5,35.714285714285715,64.28571428571429,0.2110062833943202,0.014204605651106504,0.035275771570309325,5.950332642952175,30.384049492653528,4.708446738109416,13.66601141376355,32.42576119643904,81.18426884096553,0.04452365163188417,0.00020177082170344684,0.001132724029413948,71.36875696990845,71.41461511639145,0.46798910492915474
118,SE Marsh,3,93,50,1,12,23,2,0,6,7,186.0,31.0,50.0,3.8461538461538463,93.0,50.0,24.0,5.723179130162963,2.184100164914136,1.799784263791292,0.8293441408132451,0.0,0.0,3.7335838236782743,0.3287574307932252,4.0623412544715,32.75477935593289,4.770293530377956,3.23339541784857,184.1175340502538,224.8760023544132,0.9822557410417385
121,SN Khan,2,44,37,0,12,18,2,0,4,1,118.91891891891892,22.0,37.0,7.4,44.0,54.054054054054056,32.432432432432435,2.3394477800343365,1.1000046616216876,0.9855618628521116,1.5145071965179788,11.449637849843299,1.175263060258907,7.543101781347922,1.5839148333754665,21.751917524825593,5.4730159155075855,1.2100102555894434,0.968141971562318,165.99303891721215,173.6442070598715,0.8886778457297554
123,SPD Smith,4,41,45,2,13,27,3,0,2,0,91.11111111111111,10.25,22.5,22.5,20.5,66.66666666666667,28.88888888888889,1.3732643205457193,0.23877942099510033,0.36445631341773665,1.2016388871522499,18.92175885092742,3.7842727967217105,11.34057037865172,0.8942888614332735,34.94089088773413,1.8858548940838962,0.05701561189075536,0.13165033123308686,174.15280882911463,176.22732966632236,0.8345352781017081
124,SR Tendulkar,2,17,15,1,2,11,1,0,1,0,113.33333333333333,8.5,15.0,15.0,17.0,80.0,13.333333333333334,2.1248426518378443,0.16420524132679118,0.1619805837412163,0.2559704138312485,12.948025411245219,4.079975502333925,12.745271751497578,0.0,29.773272665076718,4.5149562950692825,0.02696336127918973,0.025715579089913194,200.0064980938585,204.5741333292969,0.8729524120877552
125,SR Watson,4,105,66,3,19,29,4,0,8,6,159.0909090909091,26.25,22.0,4.714285714285714,35.0,50.0,28.78787878787879,4.186992449832751,1.566057773034492,0.34843823346999414,1.1932505086916414,2.3598695168239585,0.3819763981603115,11.448711171496635,0.878493976221507,15.069051062702412,17.53090577495646,2.4525369484817525,0.1202830217455365,174.3742769699087,194.47800271509243,0.9280875068819543
127,SS Tiwary,3,51,54,2,20,25,6,0,2,1,94.44444444444444,17.0,27.0,18.0,25.5,57.407407407407405,37.03703703703704,1.4755851748873916,0.6568209653071647,0.5248170913215408,1.9750803536361767,18.042054408893577,2.332581753552111,10.28623163596528,2.9553389851361036,33.61620678354707,2.177351608347454,0.43141378046703566,0.2737353995379607,154.33727533917715,157.2197761275296,0.8238476503709936
133,UT Yadav,2,2,7,0,5,2,0,0,0,0,28.57142857142857,1.0,7.0,7.0,2.0,28.571428571428573,71.42857142857143,0.1350440213723649,0.0022727369041770406,0.035275771570309325,7.346089682657004,31.22725399409811,4.760370925616554,13.66601141376355,50.26979124617426,99.92342757965247,0.01823688770841975,5.165333035608238e-06,0.001132724029413948,49.73417498938952,49.753549766460395,0.33240616324987876
134,V Kohli,7,172,137,5,41,62,18,0,11,5,125.54744525547446,24.571428571428573,27.4,8.5625,34.4,58.394160583941606,29.927007299270073,2.6075173702078187,1.3721765014933383,0.5404824135535801,1.2895520508727683,9.707348202446788,0.6592200352226489,10.185992907916168,1.0682910004294282,21.620852146015036,6.799146835935499,1.8828683512504973,0.29037290999466864,171.84021080479832,180.812598901979,0.8931952598047195
137,WP Saha,2,13,21,1,9,11,1,0,0,0,61.904761904761905,6.5,21.0,21.0,13.0,57.142857142857146,42.857142857142854,0.6339566558869353,0.09602313420147997,0.3174819441327839,2.6445922857565214,25.900185392676214,4.360065686189783,11.659156518824613,5.705514447039795,47.624922044730404,0.40190104154334605,0.009220442301875431,0.09976889040852455,138.15048608163755,138.6613764558913,0.7443455453887208
140,Y Venugopal Rao,3,65,49,2,16,25,1,0,2,5,132.6530612244898,21.666666666666668,24.5,7.0,32.5,53.06122448979592,32.6530612244898,2.911025460705315,1.0669237133497775,0.4321282017362892,1.5351828234777085,7.9082082606441135,1.2480832239299315,10.889369363695057,1.6363843889935028,21.682045237262603,8.474069232874593,1.1383262101080782,0.18533747893942423,165.46070393163436,175.25843685355645,0.889905594791507
141,YK Pathan,4,30,37,2,17,16,2,0,1,1,81.08108108108108,7.5,18.5,18.5,15.0,48.648648648648646,45.945945945945944,1.0875532035283588,0.12784145085995854,0.2463904657130279,3.039531804122887,21.48902773168694,4.228199899123741,12.149701432681516,7.748214013522321,45.615143077014515,1.1827719705047959,0.016343436557979193,0.059912675935944355,129.02242771714202,130.28145580014075,0.7406706930764946
143,Yuvraj Singh,4,73,62,2,23,25,6,0,6,2,117.74193548387098,18.25,31.0,7.75,36.5,50.0,37.096774193548384,2.293368230019076,0.7569634351474656,0.6918370710013727,1.9814567186696375,11.763602810745821,2.036719245449107,9.242789154900112,2.9773029881848374,26.02041419927988,5.259537838460829,0.5729936421502513,0.476399873130417,154.17888557422876,160.48781692797024,0.8604865102091566
