Ball_No,Batsman_Name,Batting_Style,Bowling_Type,Bowling_Side_of_Stumps,Ball_Pitching,Ball_Line,Ball_Length,Ball_Turn_Angle,Ball_Middled,Ball_Missed,Ball_Edged,Ball_Left,Shot_Aggressive,Shot_Attacking,Shot_Defensive,Shot_Type,Shot_Timing,Batsman_Head_Position,Batsman_Footwork
19,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
20,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
21,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Square Cut,1,1,1
22,Red,LHB,Pace,Round,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
23,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cut,1,1,1
24,Red,LHB,Spin,Round,Leg Stump,Middle Stump,Full,6,1,0,0,0,0,0,1,BackFoot Defence,1,0,1
25,Red,LHB,Pace,Over,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
26,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,0,0,0,0,0,1,BackFoot On Drive,0,0,0
27,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,1,0,0,Square Drive,1,1,1
28,Orange1,RHB,Pace,Over,Off Stump,Middle Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
29,Orange1,RHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Full,NA,1,0,0,0,1,0,0,Leg Glance,1,1,1
30,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Leg Stump,Good,NA,0,1,0,0,0,0,0,None,0,0,0
31,Orange1,RHB,Pace,Round,Outside Off Stump,Outside Leg Stump,Short,NA,0,1,0,0,0,0,0,None,0,0,0
32,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,11,0,1,0,0,0,0,0,None,0,0,0
33,Orange1,RHB,Spin,Over,Outside Off Stump,Leg Stump,Full,10,0,1,0,0,0,0,0,None,0,0,0
34,Orange1,RHB,Pace,Over,Outside Off Stump,Middle Stump,Full,NA,1,0,0,0,1,0,0,Backfoot Flick,1,1,1
35,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,0,1,0,1,0,0,None,0,0,0
36,Orange1,RHB,Pace,Round,Outside Leg Stump,Leg Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
37,Orange1,RHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,1
38,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,0,1,0,1,0,0,None,0,0,0
39,Orange1,RHB,Pace,Over,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,0,1,0,FrontFoot On Drive,1,1,1
40,Orange1,RHB,Spin,Over,Middle-Off Stump,Off Stump,Full,11,1,0,0,0,0,0,1,BackFoot Defence,1,1,0
41,Orange1,RHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Yorker,NA,0,1,0,0,0,0,0,None,0,0,1
42,Red,LHB,Pace,Round,Off Stump,Leg Stump,Full,NA,1,0,0,0,1,0,0,FrontFoot Straight Drive,1,1,1
43,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Good,NA,0,1,0,0,0,0,0,None,0,0,0
44,Red,LHB,Pace,Round,Outside Off Stump,Leg Stump,Full,NA,0,0,1,0,1,0,0,None,0,0,0
45,Red,LHB,Pace,Round,Outside Off Stump,Outside Leg Stump,Full,NA,0,0,1,0,1,0,0,None,0,0,0
46,Red,LHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Yorker,NA,1,0,0,0,1,0,0,FrontFoot On Drive,1,0,1
47,Red,LHB,Spin,Over,Off Stump,Middle Stump,Full,9,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
48,Red,LHB,Spin,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Square Drive,1,1,1
49,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,0,1,0,1,0,0,None,0,0,0
50,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,0,0,1,0,0,1,None,1,1,1
51,Red,LHB,Pace,Round,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,0
52,Red,LHB,Pace,Round,Outside Off Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
53,Red,LHB,Spin,Round,Outside Off Stump,Outside Off Stump,Full,14,1,0,0,0,1,0,0,Square Cut,1,0,0
54,Red,LHB,Spin,Over,Outside Leg Stump,Outside Leg Stump,Full,5,0,1,0,0,0,0,0,None,0,0,1
55,Red,LHB,Pace,Round,Leg Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,1,0,FrontFoot On Drive,1,1,1
56,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,1,0,0,Square Cut,1,1,1
57,Orange1,RHB,Pace,Round,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,1,0,0,Square Drive,1,1,1
58,Orange1,RHB,Pace,Over,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
59,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,0,1,0,1,0,0,None,0,0,0
60,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,1,0,FrontFoot Straight Drive,1,1,1
61,Orange1,RHB,Spin,Over,Middle Stump,Outside Off Stump,Full,6,1,0,0,0,1,0,0,Sweep,1,1,1
62,Orange1,RHB,Spin,Over,Outside Off Stump,Off Stump,Full,9,1,0,0,0,0,0,1,BackFoot Defence,1,1,0
63,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,14,0,1,0,0,0,0,0,None,0,0,1
64,Orange1,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,10,0,1,0,0,0,0,0,None,0,0,0
65,Orange1,RHB,Pace,Over,Leg Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,0,1
66,Orange1,RHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Yorker,NA,0,0,1,0,1,0,0,None,0,0,0
67,Orange1,RHB,Pace,Over,Outside Off Stump,Middle-Leg Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
68,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,0,0,1,0,0,1,None,1,1,1
69,Orange1,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,1,0,Square Cut,1,1,1
70,Orange1,RHB,Pace,Over,Outside Off Stump,Leg Stump,Full,NA,0,0,0,0,0,1,0,FrontFoot Lofted On Drive,0,1,1
71,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,0,0,0,1,0,0,FrontFoot On Drive,0,0,0
72,Red,LHB,Pace,Round,Middle Stump,Outside Leg Stump,Full,NA,0,0,1,0,1,0,0,None,0,0,0
73,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
74,Red,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Good,NA,0,0,1,0,1,0,0,None,0,0,0
75,Red,LHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Good,NA,0,1,0,0,0,0,0,None,0,1,1
76,Red,LHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,0,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
77,Red,LHB,Spin,Round,Outside Leg Stump,Leg Stump,Full,0,0,0,0,0,0,1,0,FrontFoot Lofted On Drive,0,0,0
